,MAE_AR_HEXOG,MAPE_AR_HEXOG,MAE_LGBM_HEXOG,MAPE_LGBM_HEXOG,MAE_AR_NonHEXOG,MAPE_AR_NonHEXOG,MAE_LGBM_NonHEXOG,MAPE_LGBM_NonHEXOG,new_index
1970-01-01 00:00:00.000000000,6192.246047811813,0.17184721525781352,5694.220612403288,0.15722181880077657,3605.2519050669507,0.1000880544062781,3597.0993400648636,0.10093398128704816,2018-09-11
1970-01-01 00:00:00.000000001,7526.080128010427,0.21226096733826672,7207.69666917242,0.20064958744695416,4360.90906195554,0.12259136740971265,4015.248473685589,0.1132935648202461,2018-09-29
1970-01-01 00:00:00.000000002,6322.316185682556,0.18371222501258436,5458.5525165632425,0.15498579534181267,3633.298236841952,0.10453612008722586,3215.2469296871805,0.09264251233421067,2018-12-16
1970-01-01 00:00:00.000000003,5078.268212933787,0.14925009535534237,4418.657419714803,0.12795265130621158,3076.4170785648203,0.09063292822882102,2726.8322189259184,0.08033215283628052,2018-12-24
1970-01-01 00:00:00.000000004,4219.32198659319,0.1249363143039,3679.5160670315295,0.10739407116501114,2611.209089153604,0.07783769921637546,2342.940264453471,0.07013648459223941,2018-12-30
1970-01-01 00:00:00.000000005,4140.639918129634,0.1287054997423789,3629.614527938398,0.1116994971019686,2760.3522259832453,0.08815550734953817,2618.6941795219464,0.08448175516974274,2018-11-20
1970-01-01 00:00:00.000000006,3959.982362437512,0.12206947589738086,3572.9261811859615,0.10914779932920345,2858.17348047159,0.09007933615497009,2542.1642835911052,0.08137305380691018,2018-10-04
1970-01-01 00:00:00.000000007,3930.4084307331013,0.12160043113759583,3817.8854495186247,0.11729264534754714,2828.6509009102774,0.08897442250476932,2639.214689579915,0.08435233636787744,2018-12-15
1970-01-01 00:00:00.000000008,3719.7947439349523,0.11743753643765498,3674.948728328579,0.11545251638857325,3005.524559313871,0.0999851526572882,2697.520923276646,0.0893087700118689,2018-10-22
1970-01-01 00:00:00.000000009,3454.585694473231,0.10978966651713025,3597.0369995099672,0.11388207676883016,2866.477891674142,0.09603881013742639,2575.4130745628236,0.0854514716547298,2018-12-04
1970-01-01 00:00:00.000000010,3279.5474100576494,0.10437429895999496,3331.847208298723,0.10553819715067204,2813.948921844795,0.09402323084611076,2532.0906199348333,0.08391567349751536,2018-12-26
1970-01-01 00:00:00.000000011,3315.28506612553,0.10800265170899148,3338.457087023921,0.10814689717222235,2914.182480461684,0.10003791209407337,2662.651294088066,0.09051465195848281,2018-09-26
1970-01-01 00:00:00.000000012,3214.0617987498895,0.10445270912895001,3279.492523798251,0.10614146666083539,2930.569836659643,0.09983885390072657,2618.7872041974674,0.08871984604250872,2018-10-09
1970-01-01 00:00:00.000000013,3134.053664078968,0.10177506491753889,3193.905995000817,0.10338667829889162,2923.7027820553735,0.0991092340436676,2581.3458258199457,0.08726183804536149,2018-10-03
1970-01-01 00:00:00.000000014,2994.8865372006408,0.0976601485446499,3079.4348850715555,0.10017832843178721,2877.140492335614,0.09833235652074386,2497.996744204611,0.08481869384652721,2018-11-16
1970-01-01 00:00:00.000000015,2915.8575619822077,0.0960056296800128,3016.959953029196,0.09899332447627056,2959.7459105648654,0.10340972606408462,2407.6395799325005,0.08208878617853625,2018-11-18
1970-01-01 00:00:00.000000016,2893.9298791799893,0.09522401590415414,2899.278967098218,0.09525634653519585,3008.1337594689503,0.10496885570016166,2373.7494345191794,0.08082002740445468,2018-09-09
1970-01-01 00:00:00.000000017,2838.083372089113,0.09329159399153679,2771.0991857685353,0.09101623599504267,3033.502931394097,0.10534757924570505,2333.269654739781,0.07924950121453095,2018-10-20
1970-01-01 00:00:00.000000018,2782.153490663838,0.09127707870169663,2686.8891310071076,0.08817781682901754,3074.5975691872595,0.10619030474932972,2327.4800301531977,0.07873199125151426,2018-12-09
1970-01-01 00:00:00.000000019,2753.6971347687963,0.09009828364565725,2662.526578611223,0.08724497160079399,3123.254344130548,0.10723655789972505,2308.469984232809,0.07778016017709694,2018-09-12
1970-01-01 00:00:00.000000020,2733.2243906004373,0.08928709158814678,2638.2326520401116,0.08636937905530892,3156.90570246624,0.10791830291845306,2296.666738308867,0.07714161887940818,2018-09-24
1970-01-01 00:00:00.000000021,2654.035630038702,0.08691615818758842,2625.270177552184,0.08627047866976303,3128.2536327617727,0.10741429277261438,2315.2066319804217,0.07802390209720392,2018-09-17
1970-01-01 00:00:00.000000022,2603.010407381308,0.08573960464669074,2598.520978792343,0.08587700808779979,3149.849509942949,0.10941193482220286,2329.1684229828466,0.07898223223250643,2018-10-23
1970-01-01 00:00:00.000000023,2620.8770455815447,0.08626116273419791,2518.557287418353,0.08325109303182872,3207.222078249612,0.11114060633798209,2364.247332092198,0.0799494192639182,2018-10-05
1970-01-01 00:00:00.000000024,2597.6872413662745,0.08543889436591516,2466.151818848805,0.08154125955035924,3236.983989433699,0.11177504648667692,2343.5102090270934,0.07911369625914448,2018-11-03
1970-01-01 00:00:00.000000025,2554.3537383368457,0.08398277441508459,2448.2235633910655,0.08091023760879205,3258.608984011632,0.11225879905524408,2315.914532775941,0.07808516874043515,2018-11-26
1970-01-01 00:00:00.000000026,2507.319528132096,0.08240903234341362,2432.8028663184164,0.0804103573118485,3274.570191550225,0.11268368902188278,2266.2765959923477,0.07635351958561139,2018-12-31
1970-01-01 00:00:00.000000027,2463.625618351825,0.08100186086309824,2410.5005422645963,0.07970882148244861,3279.98447270582,0.11283838612171339,2217.115254077972,0.07466120297069989,2018-11-28
1970-01-01 00:00:00.000000028,2420.144329159978,0.0797839577891826,2350.1212248775105,0.07782420905356771,3259.7309929871058,0.11275945789344538,2181.650330602406,0.07360641294008187,2018-12-25
1970-01-01 00:00:00.000000029,2404.7406453289013,0.07981530832133422,2316.84401957338,0.0771064091122323,3304.613724791115,0.11577905232391864,2142.3700357497696,0.07256391253334889,2018-09-15
1970-01-01 00:00:00.000000030,2525.5926979616197,0.08316578287564291,2420.8584015587307,0.07993873250203037,3399.810998114473,0.11787463294061838,2215.539531423768,0.07447577669958037,2018-10-07
1970-01-01 00:00:00.000000031,2521.25970678691,0.08302491919018364,2415.2793974938722,0.07974078221624377,3414.7063204127426,0.11809334145912609,2197.008898940119,0.07385459550076243,2018-10-26
1970-01-01 00:00:00.000000032,2492.754859832935,0.08224285082282415,2379.0382321629218,0.07870457541518253,3389.4360990520845,0.11756555756102399,2182.716509375513,0.07353016989150218,2018-12-21
1970-01-01 00:00:00.000000033,2495.4076735633976,0.08212526950639817,2392.3706205374124,0.078949757336677,3438.953032981882,0.1189375775703764,2185.4685851325503,0.07341462392216026,2018-10-02
1970-01-01 00:00:00.000000034,2440.415688455184,0.08035785607139002,2332.545977445214,0.07700191437419651,3426.965951237136,0.11880397868306665,2138.2177484168037,0.07186586676956336,2018-11-02
1970-01-01 00:00:00.000000035,2474.591884485204,0.08254791807663629,2327.592108719056,0.07747237794819904,3485.251197428184,0.12249836924646823,2160.6910813632285,0.07342390077686153,2018-12-11
1970-01-01 00:00:00.000000036,2587.7926971363363,0.0858499411288919,2404.356399440592,0.07968628186127658,3534.5523663394565,0.12346912170751731,2222.3225906774774,0.07510792317991043,2018-10-17
1970-01-01 00:00:00.000000037,2594.906706747903,0.08616893899360016,2385.333033613656,0.07905941883686664,3545.0430502496633,0.12370813282616713,2217.641829162484,0.07490706025658055,2018-09-18
1970-01-01 00:00:00.000000038,2548.5676443913003,0.08469445804082344,2360.6424744367155,0.07840678258602546,3557.5431470284607,0.12447922425035869,2232.3972820554795,0.07533274614447874,2018-12-03
1970-01-01 00:00:00.000000039,2503.7716748545886,0.08327195482088949,2310.524263610595,0.07676820561791114,3556.4531155648046,0.12468849413194696,2191.9628631106957,0.0739671933817036,2018-12-28
1970-01-01 00:00:00.000000040,2479.9813042903556,0.08258741752618731,2290.7405576150254,0.07624412327454536,3532.9021484263912,0.12417923130786111,2153.447042265204,0.0727375315374391,2018-09-19
1970-01-01 00:00:00.000000041,2504.249368897462,0.08316373812479382,2353.4597204181223,0.0779861421213231,3575.1633423400767,0.1255386732204963,2175.3137970271164,0.07325354346186133,2018-10-31
1970-01-01 00:00:00.000000042,2481.1480810371845,0.08262124686152114,2356.7790106512352,0.07848181572331392,3588.271267196224,0.1268871788650988,2188.3355543197404,0.07411756719980898,2018-09-30
1970-01-01 00:00:00.000000043,2477.4842999085026,0.08296944097158199,2418.4729379091364,0.08162246755105163,3627.5477542707854,0.12947521589921257,2164.283084095056,0.07356018287372178,2018-11-11
1970-01-01 00:00:00.000000044,2436.684562262157,0.08164190406119892,2394.905727522195,0.08102474651091446,3627.6959236348043,0.12994801951419446,2130.2276554162804,0.0724337109489194,2018-10-21
1970-01-01 00:00:00.000000045,2397.6915749116383,0.08036233301282612,2364.690780855881,0.08002189684999254,3621.9567924571847,0.1298970286371494,2095.234376301497,0.07125821753444148,2018-10-29
1970-01-01 00:00:00.000000046,2360.128821177826,0.07912812063478612,2323.8443011103145,0.07863573447328713,3618.3466045671894,0.12986563349134772,2080.288235643314,0.07076080105640696,2018-10-30
1970-01-01 00:00:00.000000047,2325.0094740912923,0.07797457874980752,2291.7231103393083,0.0775532753537487,3612.956471803469,0.12975945181356094,2053.8526711375625,0.06988381966759674,2018-11-14
1970-01-01 00:00:00.000000048,2291.324399264912,0.07686561390014668,2256.064842994844,0.07636074762432414,3605.334182983665,0.12960739955841633,2036.3286054220453,0.06930388944574901,2018-12-17
1970-01-01 00:00:00.000000049,2279.7719259538144,0.07666928934428581,2223.081295139238,0.07531222388297348,3603.8323571617457,0.13004708068381887,2016.9864426107993,0.06874980584733288,2018-09-06
1970-01-01 00:00:00.000000050,2280.6131906634673,0.0771027140242334,2208.4034547767264,0.07508809241206828,3638.0008643028414,0.13227583752648225,1985.9536186705802,0.06777270177027647,2018-10-18
1970-01-01 00:00:00.000000051,2254.351148028668,0.07623928313078196,2189.7545211728684,0.07450744491747155,3639.0520529044547,0.13263031048912788,1956.5448191503367,0.06679560564412193,2018-10-08
1970-01-01 00:00:00.000000052,2223.819112473292,0.07522831051499419,2168.025683890405,0.07378330564244602,3633.8865463343045,0.13254977064549603,1925.8482478156009,0.06574727694081348,2018-11-25
1970-01-01 00:00:00.000000053,2198.2224579239405,0.0743917481795753,2136.9620796284016,0.07273851210442737,3625.9323011121805,0.13235260774251167,1898.5403471883426,0.06482884864580873,2018-12-02
1970-01-01 00:00:00.000000054,2170.940735724821,0.07350999679760063,2109.586981711268,0.07181169307240247,3619.580788436607,0.13221982393595744,1873.4774376616274,0.06397681036707566,2018-09-10
1970-01-01 00:00:00.000000055,2143.5377600586257,0.07259767383183813,2080.505559026973,0.07081910887981105,3611.8441102482707,0.13201668568032204,1852.3731740509272,0.06325916988207847,2018-09-04
1970-01-01 00:00:00.000000056,2130.625265456572,0.07227510301353735,2051.657537089188,0.06987281467768222,3605.4826304199023,0.1321337052024366,1831.5076694886213,0.06259761822873909,2018-10-12
1970-01-01 00:00:00.000000057,2129.2714517173404,0.07253848431672767,2074.6812686210646,0.07113341332030146,3624.4569444970734,0.13360170746400882,1826.3938816857174,0.06257052491840791,2018-11-06
1970-01-01 00:00:00.000000058,2133.1376595491647,0.07258124493977239,2079.7521003064303,0.07140524530053174,3647.933174102909,0.13439619768335065,1859.7009345386957,0.06352895599107436,2018-11-05
1970-01-01 00:00:00.000000059,2135.024938518996,0.07253456782191453,2064.0605231453023,0.0708509175214897,3666.138371691347,0.13474248855698656,1883.0602825451847,0.06417741176903946,2018-11-24
1970-01-01 00:00:00.000000060,2128.846655127726,0.07226163198502389,2051.977208722144,0.07041593272566093,3676.423480609183,0.13485527669331085,1897.9595048237113,0.06459237347972976,2018-11-21
1970-01-01 00:00:00.000000061,2168.5280584689544,0.07323965955549872,2142.4625849556314,0.0728784412341803,3712.747153222108,0.1354447608124242,1942.7666909218801,0.06573768151681812,2018-11-27
1970-01-01 00:00:00.000000062,2177.9172453641213,0.07365878833515507,2150.9760596006295,0.07323659208858398,3697.6506003144864,0.13494651098978863,1962.0253405539638,0.06650467156367655,2018-09-07
1970-01-01 00:00:00.000000063,2190.755586115423,0.07437139551045406,2177.4675031072907,0.07449050139536002,3692.119378158745,0.13505798566194793,1963.2910045055014,0.06667627542817259,2018-12-23
1970-01-01 00:00:00.000000064,2220.1082347293504,0.07519869855340154,2224.8412425896895,0.07583219414979701,3706.976270992562,0.13524858724611152,2011.0610135309505,0.06809190959655445,2018-11-01
1970-01-01 00:00:00.000000065,2205.915991055847,0.07476045869279982,2209.132017894608,0.07532780712174451,3690.7711178928616,0.13471765112420214,2001.6508112140207,0.06781147883056256,2018-09-13
1970-01-01 00:00:00.000000066,2203.8699319378006,0.07484286883422506,2212.8373299866867,0.07558817209773648,3685.7013986760135,0.13473971905855117,1986.9136468528618,0.06736217481185644,2018-10-10
1970-01-01 00:00:00.000000067,2202.649159238456,0.07468276117368332,2228.987801857527,0.07595195420681328,3701.230048734471,0.13483897812733148,2015.6218095426593,0.06813697543688195,2018-09-27
1970-01-01 00:00:00.000000068,2208.0457872414595,0.07498698774766337,2231.6136679510955,0.07615432827739245,3682.5406057190003,0.1342370419128394,2017.5635048664694,0.06827853059414131,2018-09-08
1970-01-01 00:00:00.000000069,2194.374496411568,0.0745524697170175,2224.245825527088,0.07591927219785846,3673.7343305154477,0.13391189447289015,2015.4723177589758,0.06823657829771669,2018-10-11
1970-01-01 00:00:00.000000070,2173.631710425842,0.07386364826137082,2235.276677121421,0.07629263011051868,3662.3901752995057,0.13355175786986115,2010.4684626699323,0.06808967279888475,2018-09-16
1970-01-01 00:00:00.000000071,2179.626482508099,0.07432481883893043,2242.2282904138997,0.07676176771381225,3665.5375189730057,0.13405480186555702,2007.4147552020802,0.068141215313317,2018-10-25
1970-01-01 00:00:00.000000072,2188.894041941001,0.07452929164574273,2227.871781288754,0.07625084555721892,3684.3732301979635,0.13440298940780507,2025.920416108834,0.06863730830654644,2018-09-14
1970-01-01 00:00:00.000000073,2170.5483288168275,0.07391017089338117,2212.4512096908147,0.07572185001401503,3687.4372024742106,0.134396309382233,2022.3764458427531,0.06848368832777091,2018-10-01
1970-01-01 00:00:00.000000074,2150.0483654677732,0.0732329629509201,2195.2688700584667,0.07513386792612788,3689.397188139013,0.13435592989105494,2024.9765636122631,0.06854200473411726,2018-10-16
1970-01-01 00:00:00.000000075,2131.214350776614,0.07261248223939466,2188.6699993322677,0.07487080474343709,3691.989734158877,0.13434812446897587,2030.695847024533,0.06868893642662244,2018-09-28
1970-01-01 00:00:00.000000076,2110.950842121352,0.07194077259162523,2181.4467412727918,0.07460835292061764,3690.5713874820385,0.1342276820128118,2041.8961430550619,0.06903995536654885,2018-10-14
1970-01-01 00:00:00.000000077,2109.751745692155,0.07201134242836514,2167.1642492715296,0.07416488065698545,3674.4691590588222,0.1338116977495089,2029.8508162315752,0.06869357799047744,2018-09-02
1970-01-01 00:00:00.000000078,2114.0767991487933,0.07240117438674211,2157.251499941513,0.073939445701784,3677.243321196319,0.1343206884746463,2023.839387919977,0.0686256032310695,2018-10-28
1970-01-01 00:00:00.000000079,2106.80046993296,0.07211273241994597,2153.553208613119,0.07375070217232331,3691.0093584563388,0.13477528650307746,2018.4702486443691,0.06841002133978707,2018-11-23
1970-01-01 00:00:00.000000080,2099.10608543977,0.07180008326514128,2159.3408819734905,0.0738496225224723,3703.852340277801,0.13501993708399398,2023.755347798833,0.06851252884942405,2018-12-29
1970-01-01 00:00:00.000000081,2089.3328428572872,0.07142602321030474,2170.8453536673646,0.07413034881269769,3714.0244132110115,0.13515059245557512,2031.3870960077663,0.0686912263291325,2018-09-03
1970-01-01 00:00:00.000000082,2084.561581998244,0.07119899576443173,2181.0817132644092,0.07435522400094034,3726.359310202857,0.13534805245905063,2040.8097098406352,0.0689183837020981,2018-11-30
1970-01-01 00:00:00.000000083,2078.100427108048,0.0709232796269782,2194.379122331043,0.07470050090961429,3734.389830188117,0.1354232500686847,2052.497411208614,0.06922704475098321,2018-12-01
1970-01-01 00:00:00.000000084,2069.284992136526,0.07067816631353185,2191.6452912772784,0.07463149858693932,3720.0732435276614,0.1349831992081236,2064.9867300912615,0.06969376655143714,2018-12-07
1970-01-01 00:00:00.000000085,2068.932363957441,0.07079674329278644,2189.4132334052183,0.07466007403159637,3713.7380737703957,0.13498688214150492,2061.045167180654,0.06962188918199641,2018-12-22
1970-01-01 00:00:00.000000086,2073.1247159510717,0.07083652904434913,2178.639764426061,0.07430516397145433,3732.20501960177,0.13546792398242954,2068.2959627752502,0.06976965050727636,2018-11-12
1970-01-01 00:00:00.000000087,2072.1419653454623,0.07071336789124193,2175.6230270490905,0.07412674245727013,3745.992973413294,0.1356867140732434,2081.7544617423555,0.07011260084119329,2018-12-10
1970-01-01 00:00:00.000000088,2069.3725221441628,0.0705380917759484,2183.954165141599,0.07429193708461136,3759.5729338355513,0.1358941444538771,2099.2194737225855,0.07056917651714006,2018-10-13
1970-01-01 00:00:00.000000089,2069.7196781997336,0.07045067255768792,2205.8187571696217,0.07488869631032458,3773.763084424388,0.1361162525556866,2115.1092997928426,0.07098122993645366,2018-12-14
1970-01-01 00:00:00.000000090,2066.6482510288884,0.0702838222654985,2212.498962587796,0.07503121838277171,3781.6457694125397,0.13617826788844486,2125.196575993033,0.07124995480848571,2018-10-27
1970-01-01 00:00:00.000000091,2100.964961669584,0.07116646436309104,2269.713089881562,0.07659621974424691,3802.6249772032143,0.13647366925478005,2184.2483447526565,0.07288263333891046,2018-12-20
1970-01-01 00:00:00.000000092,2147.77615249494,0.07241258065395538,2317.4836716276022,0.07786934745301742,3831.3757241315434,0.13706557418163204,2242.5512804427876,0.07446706223361055,2018-12-12
1970-01-01 00:00:00.000000093,2155.334458885689,0.07259828142059244,2315.9771207414174,0.07775941209224041,3842.199596742481,0.1373191422093988,2254.805090117117,0.07479396961391481,2018-09-25
1970-01-01 00:00:00.000000094,2152.566025740281,0.07246287686888928,2320.7786335229353,0.07785818406650036,3845.7863460287176,0.137284906758036,2268.204904360763,0.07519426315664479,2018-12-27
1970-01-01 00:00:00.000000095,2175.3264499028573,0.07348279217251076,2329.873563737962,0.07834994712351061,3839.789681262033,0.13727922468455256,2276.826917735868,0.07567124889683521,2018-11-13
1970-01-01 00:00:00.000000096,2162.53377749647,0.07306139895148445,2320.6937638877043,0.07805191871117624,3830.9744873318014,0.137002300010611,2267.9108739736707,0.07541246436979966,2018-09-22
1970-01-01 00:00:00.000000097,2172.0405530216112,0.07330494420800096,2328.214201565798,0.07822231085070885,3836.3346785564786,0.13696090994169782,2283.877588349809,0.0758656127112703,2018-12-19
1970-01-01 00:00:00.000000098,2176.7240073710873,0.07361320662316004,2323.7959233404745,0.07817490374611953,3825.261444239742,0.13673208450333615,2284.370030818416,0.07600185278862201,2018-11-09
1970-01-01 00:00:00.000000099,2194.8350762787213,0.07414956075842002,2344.7650582456736,0.07878416652284363,3829.7886984771226,0.13676149642084848,2307.2442706841207,0.0767068743044355,2018-09-05
1970-01-01 00:00:00.000000100,2214.942041083237,0.07510831652570764,2369.013265690709,0.07993023163240963,3832.4475523845726,0.13713765969533512,2319.818582250994,0.07739517808718283,2018-12-18
1970-01-01 00:00:00.000000101,2205.6144887776204,0.07481566922420703,2359.3045224237135,0.07962793485608086,3838.6922233212126,0.13736880576177385,2325.1345063070335,0.0775202867546107,2018-12-05
1970-01-01 00:00:00.000000102,2206.0949550267505,0.07474225070935359,2368.512304626965,0.07982720104904598,3850.8878306162537,0.13756283312298173,2338.621600534488,0.07788028710252533,2018-11-15
1970-01-01 00:00:00.000000103,2211.6399155803892,0.07480400581256758,2394.1718755237766,0.08051786308040508,3866.221575648391,0.13782698303242008,2361.3365249446942,0.07849622549489269,2018-11-22
1970-01-01 00:00:00.000000104,2214.731848752475,0.07482440284584314,2408.0249535820526,0.08089156615578366,3874.97621092585,0.13791656970636948,2383.7931410843153,0.07914430060618198,2018-10-24
1970-01-01 00:00:00.000000105,2208.232089372591,0.07463310339810982,2403.131590776419,0.08074256989792729,3862.85688006463,0.13751712909508634,2383.8228691210456,0.07917697588708308,2018-11-29
1970-01-01 00:00:00.000000106,2206.449506035927,0.07465446830496138,2396.6710342194874,0.08056761185374889,3855.553643482308,0.13742447069984629,2379.7598838926397,0.0790942152249903,2018-09-20
1970-01-01 00:00:00.000000107,2219.7852576303267,0.07497923021145479,2402.544010693872,0.08065462940520719,3873.0420999409153,0.13783085021546143,2389.1114782021327,0.07930216481152814,2018-09-01
1970-01-01 00:00:00.000000108,2231.0511492524106,0.07521348516393628,2415.4304233363996,0.08093542901771342,3890.230254503351,0.13812090825637893,2408.6446256822323,0.07981206977833114,2018-11-04
1970-01-01 00:00:00.000000109,2234.28653647433,0.0752288427786626,2428.3057839283897,0.08124488995793076,3902.385584769,0.1383080062814581,2428.492715368395,0.08036455202702757,2018-12-13
1970-01-01 00:00:00.000000110,2235.397966415269,0.07519050460048796,2438.708657855656,0.08150451546681355,3911.3172593026025,0.13842867460598463,2445.047460567963,0.08082697713047107,2018-09-21
1970-01-01 00:00:00.000000111,2229.7215912641523,0.07497350500331493,2438.6240481278473,0.08147094906874322,3912.099054453214,0.13836210414803438,2457.2157237490997,0.0811964626717668,2018-10-19
1970-01-01 00:00:00.000000112,2222.2008685741635,0.07477892775425277,2432.2909203104614,0.08128715248559697,3900.3020968750134,0.13807022345146225,2457.7930542582158,0.08127291256327558,2018-11-07
1970-01-01 00:00:00.000000113,2219.8853270159425,0.07481837276427293,2426.954456281742,0.08120063785466651,3896.393501006764,0.13819407189429625,2451.409139675618,0.08111857232818782,2018-09-23
1970-01-01 00:00:00.000000114,2223.508798312721,0.07506246037662484,2448.3440479934,0.08215621761414744,3891.405229314441,0.1382798104732734,2447.6086830063655,0.081099741591766,2018-10-15
1970-01-01 00:00:00.000000115,2255.529630137088,0.07678545425584121,2480.502032168456,0.08391838849137821,3913.1373389347714,0.13973651295969233,2475.958467009482,0.08270208142178945,2018-11-08
1970-01-01 00:00:00.000000116,2252.040317484591,0.07682837060373371,2477.747783638328,0.08393553805220527,3913.203457926174,0.14007805137632917,2476.514916502795,0.08291296358621296,2018-11-19
1970-01-01 00:00:00.000000117,2242.590734081729,0.07655161656737114,2467.798666564305,0.08361883468865859,3913.885247013758,0.14019777948602655,2469.2415991586113,0.08270399787171219,2018-10-06
1970-01-01 00:00:00.000000118,2233.28800295038,0.07628741046309086,2458.9375343540687,0.08337657004802274,3912.6449625750856,0.14022339343324686,2462.498128373856,0.08251168705857359,2018-11-10
1970-01-01 00:00:00.000000119,2229.7141503124803,0.07624695598287286,2449.7798244883265,0.08309476412762701,3904.1113470116256,0.1400759552104046,2457.2545259201247,0.08236505853994337,2018-12-08
1970-01-01 00:00:00.000000120,2229.912584018477,0.07637810484686236,2441.4713550404344,0.08289186791054286,3902.8314828968328,0.14029261050827782,2450.071853955151,0.08219681296057545,2018-11-17
1970-01-01 00:00:00.000000121,2231.6863838687905,0.0765300844937723,2444.9149248431445,0.08313162237831445,3897.3584664973387,0.14031229171835044,2447.332991302449,0.08220295966560773,2018-12-06
